TSS Sample ID,Date,Site,Time,Time zone,Date to St. Mikes,Date processed at St. Mikes,SMC WQ Lab Code,TSS (mg/L),Note
18,7/3/19,Miss Delta,11:24,EDT,7/16/19,7/17/2019 ES,19SS10227,2.79,
19,7/3/19,Miss Delta,11:28,EDT,7/16/19,7/17/2019 ES,19SS10229,2.84,
20,7/3/19,Miss Delta,11:32,EDT,7/16/19,7/17/2019 ES,19SS10230,1.92,
21,7/3/19,Miss Delta,11:36,EDT,7/16/19,7/17/2019 ES,19SS10231,3.08,
22,7/3/19,Miss Delta,11:40,EDT,7/16/19,7/17/2019 ES,19SS10232,2.81,approaching split in river
23,7/3/19,Miss Delta,11:44,EDT,7/16/19,7/17/2019 ES,19SS10233,2.84,approaching split in river
24,7/3/19,Miss Delta,11:48,EDT,7/16/19,7/17/2019 ES,19SS10234,2.79,approaching split in river
25,7/3/19,Miss Delta,11:52,EDT,7/16/19,7/17/2019 ES,19SS10235,2.76,after split!
26,7/3/19,Miss Delta,11:56,EDT,7/16/19,7/17/2019 ES,19SS10236,2.9,
27,7/3/19,Miss Delta,12:00,EDT,7/16/19,7/17/2019 ES,19SS10237,4.8,
28,7/3/19,Miss Delta,12:04,EDT,7/16/19,7/17/2019 ES,19SS10238,2.81,
29,7/3/19,Miss Delta,12:08,EDT,7/16/19,7/17/2019 ES,19SS10239,2.82,approaching lake
30,7/3/19,Miss Delta,12:12,EDT,7/16/19,7/17/2019 ES,19SS10240,3.15,approaching lake
31,7/3/19,Miss Delta,12:16,EDT,7/16/19,7/17/2019 ES,19SS10241,2.93,"lake-ish marsh (across from ""island"" from last time)"
32,7/3/19,Miss Delta,12:20,EDT,7/16/19,7/17/2019 ES,19SS10242,2.92,lake!
33,7/3/19,Miss Delta,13:35,EDT,7/16/19,7/17/2019 ES,19SS10243,2.9,GRAB above dam
