Date,reach,var,change1KM,p.value,adj.r.squared
8/14/19,lower,spc_uscm,0.34,8.00E-04,0.34
10/21/19,upper,spc_uscm,-0.09,0.0022,0.08
10/21/19,lower,spc_uscm,0.01,0.7108,-0.03
5/17/19,upper,TDN_mgNL,-0.01,0,0.65
5/17/19,lower,TDN_mgNL,-0.03,0.058,0.39
7/3/19,upper,TDN_mgNL,-0.01,0.0913,0.08
7/3/19,lower,TDN_mgNL,-0.04,0.0546,0.4
8/14/19,upper,TDN_mgNL,-0.01,0.0013,0.4
8/14/19,lower,TDN_mgNL,0.01,0.5741,-0.12
10/21/19,upper,TDN_mgNL,0,0.9918,-0.05
10/21/19,lower,TDN_mgNL,0.01,0.0851,0.37
5/17/19,upper,TDP_mgPL,0,0.0114,0.21
5/17/19,lower,TDP_mgPL,0,0.402,-0.03
7/3/19,upper,TDP_mgPL,0,0.4315,-0.02
7/3/19,lower,TDP_mgPL,0,0.0399,0.45
8/14/19,upper,TDP_mgPL,0,0.112,0.08
8/14/19,lower,TDP_mgPL,0,0.0821,0.38
10/21/19,upper,TDP_mgPL,0,0.1814,0.04
10/21/19,lower,TDP_mgPL,0,0.746,-0.17
5/17/19,upper,temp_c,0.15,0,0.92
5/17/19,lower,temp_c,0.4,0.0189,0.16
7/3/19,upper,temp_c,0.33,0,0.83
7/3/19,lower,temp_c,0.29,0.0303,0.12
8/14/19,upper,temp_c,0.27,0,0.69
8/14/19,lower,temp_c,0.01,0.9375,-0.04
10/21/19,upper,temp_c,0.08,0,0.64
10/21/19,lower,temp_c,0.07,0.0651,0.09
5/17/19,upper,TN_mgNL,0,0,0.56
5/17/19,lower,TN_mgNL,-0.07,0.0217,0.55
7/3/19,upper,TN_mgNL,0,0.2062,0.03
7/3/19,lower,TN_mgNL,-0.04,0.1063,0.27
8/14/19,upper,TN_mgNL,0,0.081,0.11
8/14/19,lower,TN_mgNL,0.01,0.5473,-0.11
10/21/19,upper,TN_mgNL,0,0.0565,0.14
10/21/19,lower,TN_mgNL,-0.01,0.32,0.04
5/17/19,upper,TP_mgPL,0,0.4318,-0.01
5/17/19,lower,TP_mgPL,0,0.9772,-0.17
7/3/19,upper,TP_mgPL,0,0.9047,-0.04
7/3/19,lower,TP_mgPL,0,0.0356,0.47
8/14/19,upper,TP_mgPL,0,0.0387,0.16
8/14/19,lower,TP_mgPL,0,0.4253,-0.04
10/21/19,upper,TP_mgPL,0,0.6531,-0.04
10/21/19,lower,TP_mgPL,0,0.4903,-0.08
5/17/19,upper,TP_UM,0,0.4318,-0.01
5/17/19,lower,TP_UM,0,0.9772,-0.17
7/3/19,upper,TP_UM,0,0.9047,-0.04
7/3/19,lower,TP_UM,0.1,0.0356,0.47
8/14/19,upper,TP_UM,0.01,0.0387,0.16
8/14/19,lower,TP_UM,-0.03,0.4253,-0.04
10/21/19,upper,TP_UM,0,0.6531,-0.04
10/21/19,lower,TP_UM,-0.03,0.4903,-0.08
5/17/19,upper,tss_mgL,0.06,0.34,0
5/17/19,lower,tss_mgL,-0.3,0.6552,-0.15
7/3/19,upper,tss_mgL,0.17,0.0327,0.15
7/3/19,lower,tss_mgL,-0.16,0.7224,-0.14
8/14/19,upper,tss_mgL,0.22,0.0526,0.14
8/14/19,lower,tss_mgL,0.59,0.4674,-0.07
10/21/19,upper,tss_mgL,0.22,0.0211,0.21
10/21/19,lower,tss_mgL,0.05,0.95,-0.2
