Date,var,term,estimate,change1KM,p.value,sig_or_not,std.error,statistic,r.squared,adj.r.squared
5/17/19,TN_mgNL,dist_cum_m,-1e-5,-0.01,0,sig,0,-4.773207318379298,0.42,0.4
7/3/19,TN_mgNL,dist_cum_m,-0,-0,0.0429,sig,0,-2.1141453203419887,0.13,0.1
8/14/19,TN_mgNL,dist_cum_m,-0,-0,0.681,not_sig,0,-0.41578986227754466,0.01,-0.03
10/21/19,TP_mgPL,dist_cum_m,0,0,0.2448,not_sig,0,1.1899075377074215,0.05,0.02
5/17/19,TP_mgPL,dist_cum_m,-0,-0,0.2658,not_sig,0,-1.1326661439115715,0.04,0.01
7/3/19,TP_mgPL,dist_cum_m,0,0,0.007,sig,0,2.897802957809562,0.22,0.19
8/14/19,TP_mgPL,dist_cum_m,0,0,0.0145,sig,0,2.620149335732579,0.21,0.18
10/21/19,tss_mgL,dist_cum_m,1.7e-4,0.17,0.0095,sig,1e-4,2.7991613560608237,0.23,0.2
5/17/19,tss_mgL,dist_cum_m,-1e-5,-0.01,0.8825,not_sig,0,-0.14900999319887176,0,-0.03
7/3/19,tss_mgL,dist_cum_m,1.7e-4,0.17,0.0019,sig,0,3.3954275342434994,0.28,0.25
8/14/19,tss_mgL,dist_cum_m,9e-5,0.09000000000000001,0.2455,not_sig,1e-4,1.1882155298037156,0.05,0.02
