DateTimeS,r_timestamp,transect,dist_from_prev_m,dist_cum_m,lat,lon,elev,Date,Time,temp_c,do_per,do_mgl,spc_uscm,tds_mgl,ph,chla_ugl,fdom_qsu,scan_NO3_mgNL,scan_DOC_mgCL,NO3_UM,NH4_UM,PO4_UM,NO3_mgNL,NH4_mgNL,PO4_mgPL,TDN_UM,TDN_mgNL,TDP_UM,TDP_mgPL,TN_UM,TN_mgNL,TP_UM,TP_mgPL,tss_mgL,NPOC_mgCL,Al_ppb_0.45,Si_ppb_0.45,P_ppb_0.45,Mn_ppb_0.45,Fe_ppb_0.45
2019-10-21T14:06:00Z,2019-10-21 10:06:00,Dead Creek,0,-10.5,44.94661105,-73.147669305,-0.8227,10/21/19,10:06:02,8.086,97.7,11.54,85.4,56,7.45,-3.05,72.12,0.195921249068174,5.19661515099642,14.233,1.94,0.276,0.199,0.027,0.009,33.337,0.466971361,0.451,0.01395394,35.758,0.500883761,0.934,0.02889796,3.54,5.415,37.90569754,2564.303202,9.091042454,23.79160384,167.2230294
2019-10-21T14:07:00Z,2019-10-21 10:07:00,Dead Creek,63.08338614019866,52.58338614019866,44.947053632,-73.147168772,-0.8248,10/21/19,10:07:02,8.086,97.6,11.54,85.4,56,7.42,-3.06,72.14,0.192525060858189,5.16464994130845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:08:00Z,2019-10-21 10:08:00,Dead Creek,67.58358879323333,120.16697493343199,44.947559897,-73.146694291,-0.817,10/21/19,10:08:02,8.088,97.7,11.54,85.3,55,7.41,-3.05,72.19,0.196836804638975,5.12154341768011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:09:00Z,2019-10-21 10:09:00,Dead Creek,67.3672796204315,187.5342545538635,44.948113275,-73.146345788,-0.8291,10/21/19,10:09:02,8.098,97.7,11.54,85.3,55,7.4,-3.08,72.29,0.196800536323911,5.08853911359216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:10:00Z,2019-10-21 10:10:00,Dead Creek,71.57922091671527,259.11347547057875,44.94875216,-73.146230613,-0.8187,10/21/19,10:10:02,8.093,97.7,11.54,85.3,55,7.4,-3.09,72.28,0.194186055903723,5.0909092232311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:11:00Z,2019-10-21 10:11:00,Dead Creek,66.14572814551396,325.25920361609275,44.949345571,-73.146295662,-0.8063,10/21/19,10:11:02,8.109,97.7,11.54,85.3,55,7.39,-3.08,72.31,0.199691287763284,5.07769477676224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:12:00Z,2019-10-21 10:12:00,Dead Creek,60.56488439693955,385.8240880130323,44.949868559,-73.146511514,-0.8026,10/21/19,10:12:02,8.112,97.6,11.53,85.3,55,7.39,-3.06,72.29,0.1981881486718,5.07821778079201,14.364,2.203,0.24,0.201,0.031,0.007,34.286,0.480264574,0.412,0.01274728,37.447,0.524542597,0.977,0.03022838,3.74,5.01,37.39523492,2559.606022,8.45082875,23.54902752,164.8789401
2019-10-21T14:13:00Z,2019-10-21 10:13:00,Dead Creek,63.81365908750808,449.63774710054037,44.950399541,-73.14681936,-0.7623,10/21/19,10:13:02,8.107,97.6,11.53,85.3,55,7.38,-3.09,72.22,0.198720120710158,5.01585474672338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:14:00Z,2019-10-21 10:14:00,Dead Creek,65.67723079498775,515.314977895528,44.950973605,-73.147017117,-0.6135,10/21/19,10:14:02,8.096,97.6,11.53,85.4,56,7.37,-3.02,72.2,0.199926913817889,5.06377754022753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:15:00Z,2019-10-21 10:15:00,Dead Creek,63.50960385919447,578.8245817547225,44.951457214,-73.146588309,-0.1013,10/21/19,10:15:02,8.098,97.5,11.52,85.5,56,7.36,-3.11,72.17,0.198650343242591,5.05217900000304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:16:00Z,2019-10-21 10:16:00,Dead Creek,66.48854773122211,645.3131294859447,44.951495159,-73.145747454,0.0757,10/21/19,10:16:02,8.1,97.5,11.51,85.4,56,7.36,-3.08,72.17,0.19375116536599,5.00457722015408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:17:00Z,2019-10-21 10:17:00,Dead Creek,71.2833742826956,716.5965037686403,44.95142321,-73.144849843,-0.0251,10/21/19,10:17:02,8.097,97.5,11.52,85.4,55,7.35,-3,72.22,0.201064606864572,5.04726875433472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:18:00Z,2019-10-21 10:18:00,Dead Creek,68.20052624793637,784.7970300165766,44.95153246,-73.143999402,0.0587,10/21/19,10:18:02,8.1,97.4,11.51,85.3,55,7.35,-3.08,72.21,0.198539519173121,5.02501291527156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:19:00Z,2019-10-21 10:19:00,Dead Creek,64.28058773806457,849.0776177546412,44.951870545,-73.143338458,0.0897,10/21/19,10:19:02,8.097,97.4,11.51,85.4,55,7.35,-3.1,72.23,0.198949935757429,5.01705021698475,13.996,2.478,0.403,0.196,0.035,0.012,33.513,0.469436699,0.446,0.01379924,34.557,0.484060633,0.895,0.0276913,1.02,4.805,36.74494007,2536.533794,8.47480171,23.98493074,167.7485441
2019-10-21T14:20:00Z,2019-10-21 10:20:00,Dead Creek,71.28789010796362,920.3655078626049,44.952368668,-73.142769251,0.072,10/21/19,10:20:02,8.107,97.4,11.51,85.3,55,7.35,-3.08,72.19,0.201400594828541,5.00665027808167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:21:00Z,2019-10-21 10:21:00,Dead Creek,71.92964298852101,992.2951508511259,44.952970705,-73.142434544,0.1438,10/21/19,10:21:02,8.101,97.4,11.5,85.3,55,7.35,-3.09,72.29,0.198244790657916,5.04708590759189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-10-21T14:22:00Z,2019-10-21 10:22:00,Dead Creek,74.15171951651085,1066.4468703676366,44.953620873,-73.142223298,1.2756,10/21/19,10:22:02,8.098,97.3,11.5,85.3,55,7.35,-3.07,72.27,0.19917080872808,5.00206108626365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
