,hobo_stage,hobo_stage_int,stage,r_timestamp,power_q,radius,area,int_or_ext,mannings_q,best_q,source
41,0.479,0.5404193,0.7621353,4/2/19 17:40,2.037810154,8.5742706,5.373053865,interpolated,2.59482617,2.037810154,measured
42,0.477,0.5384259,0.7601419,4/2/19 17:50,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
43,0.477,0.5384259,0.7601419,4/2/19 18:00,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
44,0.477,0.5384259,0.7601419,4/2/19 18:10,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
45,0.479,0.5404193,0.7621353,4/2/19 18:20,2.037810154,8.5742706,5.373053865,interpolated,2.59482617,2.037810154,measured
46,0.477,0.5384259,0.7601419,4/2/19 18:30,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
47,0.476,0.5374292,0.7591452,4/2/19 18:40,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
48,0.477,0.5384259,0.7601419,4/2/19 18:50,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
49,0.478,0.5394226,0.7611386,4/2/19 19:00,2.002896987,8.5722772,5.36602713,interpolated,2.591031063,2.002896987,measured
50,0.48,0.541416,0.763132,4/2/19 19:10,2.073285078,8.576264,5.3800806,interpolated,2.598622299,2.073285078,measured
51,0.477,0.5384259,0.7601419,4/2/19 19:20,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
52,0.476,0.5374292,0.7591452,4/2/19 19:30,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
53,0.479,0.5404193,0.7621353,4/2/19 19:40,2.037810154,8.5742706,5.373053865,interpolated,2.59482617,2.037810154,measured
54,0.476,0.5374292,0.7591452,4/2/19 19:50,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
55,0.475,0.5364325,0.7581485,4/2/19 20:00,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
56,0.477,0.5384259,0.7601419,4/2/19 20:10,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
57,0.477,0.5384259,0.7601419,4/2/19 20:20,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
58,0.482,0.5434094,0.7651254,4/2/19 20:30,2.145953458,8.5802508,5.39413407,interpolated,2.606217617,2.145953458,measured
59,0.478,0.5394226,0.7611386,4/2/19 20:40,2.002896987,8.5722772,5.36602713,interpolated,2.591031063,2.002896987,measured
60,0.477,0.5384259,0.7601419,4/2/19 20:50,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
61,0.476,0.5374292,0.7591452,4/2/19 21:00,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
62,0.478,0.5394226,0.7611386,4/2/19 21:10,2.002896987,8.5722772,5.36602713,interpolated,2.591031063,2.002896987,measured
63,0.476,0.5374292,0.7591452,4/2/19 21:20,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
64,0.477,0.5384259,0.7601419,4/2/19 21:30,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
65,0.477,0.5384259,0.7601419,4/2/19 21:40,1.9685374,8.5702838,5.359000395,interpolated,2.587236976,1.9685374,measured
66,0.479,0.5404193,0.7621353,4/2/19 21:50,2.037810154,8.5742706,5.373053865,interpolated,2.59482617,2.037810154,measured
67,0.475,0.5364325,0.7581485,4/2/19 22:00,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
68,0.474,0.5354358,0.7571518,4/2/19 22:10,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
69,0.475,0.5364325,0.7581485,4/2/19 22:20,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
70,0.473,0.5344391,0.7561551,4/2/19 22:30,1.836475075,8.5623102,5.330893455,interpolated,2.57207084,1.836475075,measured
71,0.474,0.5354358,0.7571518,4/2/19 22:40,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
72,0.475,0.5364325,0.7581485,4/2/19 22:50,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
73,0.476,0.5374292,0.7591452,4/2/19 23:00,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
74,0.476,0.5374292,0.7591452,4/2/19 23:10,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
75,0.475,0.5364325,0.7581485,4/2/19 23:20,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
76,0.475,0.5364325,0.7581485,4/2/19 23:30,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
77,0.472,0.5334424,0.7551584,4/2/19 23:40,1.80476448,8.5603168,5.32386672,interpolated,2.568281859,1.80476448,measured
78,0.474,0.5354358,0.7571518,4/2/19 23:50,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
79,0.473,0.5344391,0.7561551,4/3/19 0:00,1.836475075,8.5623102,5.330893455,interpolated,2.57207084,1.836475075,measured
80,0.476,0.5374292,0.7591452,4/3/19 0:10,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
81,0.475,0.5364325,0.7581485,4/3/19 0:20,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
82,0.475,0.5364325,0.7581485,4/3/19 0:30,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
83,0.474,0.5354358,0.7571518,4/3/19 0:40,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
84,0.474,0.5354358,0.7571518,4/3/19 0:50,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
85,0.473,0.5344391,0.7561551,4/3/19 1:00,1.836475075,8.5623102,5.330893455,interpolated,2.57207084,1.836475075,measured
86,0.471,0.5324457,0.7541617,4/3/19 1:10,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
87,0.472,0.5334424,0.7551584,4/3/19 1:20,1.80476448,8.5603168,5.32386672,interpolated,2.568281859,1.80476448,measured
88,0.474,0.5354358,0.7571518,4/3/19 1:30,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
89,0.473,0.5344391,0.7561551,4/3/19 1:40,1.836475075,8.5623102,5.330893455,interpolated,2.57207084,1.836475075,measured
90,0.47,0.531449,0.753165,4/3/19 1:50,1.742856096,8.55633,5.30981325,interpolated,2.560706962,1.742856096,measured
91,0.471,0.5324457,0.7541617,4/3/19 2:00,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
92,0.475,0.5364325,0.7581485,4/3/19 2:10,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
93,0.475,0.5364325,0.7581485,4/3/19 2:20,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
94,0.473,0.5344391,0.7561551,4/3/19 2:30,1.836475075,8.5623102,5.330893455,interpolated,2.57207084,1.836475075,measured
95,0.472,0.5334424,0.7551584,4/3/19 2:40,1.80476448,8.5603168,5.32386672,interpolated,2.568281859,1.80476448,measured
96,0.471,0.5324457,0.7541617,4/3/19 2:50,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
97,0.47,0.531449,0.753165,4/3/19 3:00,1.742856096,8.55633,5.30981325,interpolated,2.560706962,1.742856096,measured
98,0.469,0.5304523,0.7521683,4/3/19 3:10,1.712643518,8.5543366,5.302786515,interpolated,2.556921046,1.712643518,measured
99,0.47,0.531449,0.753165,4/3/19 3:20,1.742856096,8.55633,5.30981325,interpolated,2.560706962,1.742856096,measured
100,0.473,0.5344391,0.7561551,4/3/19 3:30,1.836475075,8.5623102,5.330893455,interpolated,2.57207084,1.836475075,measured
101,0.471,0.5324457,0.7541617,4/3/19 3:40,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
102,0.471,0.5324457,0.7541617,4/3/19 3:50,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
103,0.469,0.5304523,0.7521683,4/3/19 4:00,1.712643518,8.5543366,5.302786515,interpolated,2.556921046,1.712643518,measured
104,0.469,0.5304523,0.7521683,4/3/19 4:10,1.712643518,8.5543366,5.302786515,interpolated,2.556921046,1.712643518,measured
105,0.468,0.5294556,0.7511716,4/3/19 4:20,1.682915654,8.5523432,5.29575978,interpolated,2.553136152,1.682915654,measured
106,0.469,0.5304523,0.7521683,4/3/19 4:30,1.712643518,8.5543366,5.302786515,interpolated,2.556921046,1.712643518,measured
107,0.47,0.531449,0.753165,4/3/19 4:40,1.742856096,8.55633,5.30981325,interpolated,2.560706962,1.742856096,measured
108,0.468,0.5294556,0.7511716,4/3/19 4:50,1.682915654,8.5523432,5.29575978,interpolated,2.553136152,1.682915654,measured
109,0.468,0.5294556,0.7511716,4/3/19 5:00,1.682915654,8.5523432,5.29575978,interpolated,2.553136152,1.682915654,measured
110,0.469,0.5304523,0.7521683,4/3/19 5:10,1.712643518,8.5543366,5.302786515,interpolated,2.556921046,1.712643518,measured
111,0.47,0.531449,0.753165,4/3/19 5:20,1.742856096,8.55633,5.30981325,interpolated,2.560706962,1.742856096,measured
112,0.469,0.5304523,0.7521683,4/3/19 5:30,1.712643518,8.5543366,5.302786515,interpolated,2.556921046,1.712643518,measured
113,0.468,0.5294556,0.7511716,4/3/19 5:40,1.682915654,8.5523432,5.29575978,interpolated,2.553136152,1.682915654,measured
114,0.466,0.5274622,0.7491782,4/3/19 5:50,1.624885573,8.5483564,5.28170631,interpolated,2.54556943,1.624885573,measured
115,0.468,0.5294556,0.7511716,4/3/19 6:00,1.682915654,8.5523432,5.29575978,interpolated,2.553136152,1.682915654,measured
116,0.469,0.5304523,0.7521683,4/3/19 6:10,1.712643518,8.5543366,5.302786515,interpolated,2.556921046,1.712643518,measured
117,0.468,0.5294556,0.7511716,4/3/19 6:20,1.682915654,8.5523432,5.29575978,interpolated,2.553136152,1.682915654,measured
118,0.467,0.5284589,0.7501749,4/3/19 6:30,1.653665357,8.5503498,5.288733045,interpolated,2.54935228,1.653665357,measured
119,0.466,0.5274622,0.7491782,4/3/19 6:40,1.624885573,8.5483564,5.28170631,interpolated,2.54556943,1.624885573,measured
120,0.466,0.5274622,0.7491782,4/3/19 6:50,1.624885573,8.5483564,5.28170631,interpolated,2.54556943,1.624885573,measured
121,0.466,0.5274622,0.7491782,4/3/19 7:00,1.624885573,8.5483564,5.28170631,interpolated,2.54556943,1.624885573,measured
122,0.466,0.5274622,0.7491782,4/3/19 7:10,1.624885573,8.5483564,5.28170631,interpolated,2.54556943,1.624885573,measured
123,0.466,0.5274622,0.7491782,4/3/19 7:20,1.624885573,8.5483564,5.28170631,interpolated,2.54556943,1.624885573,measured
