Date,reach,var,term,estimate,std.error,statistic,p.value,sig_or_not,r.squared,adj.r.squared
5/17/19,lower,fdom_qsu,dist_cum_m,0.0051,6e-4,7.976262200166287,0,sig,0.71,0.7
5/17/19,lower,scan_NO3_mgNL,dist_cum_m,-0,0,-6.548241948204442,0,sig,0.62,0.61
5/17/19,lower,scan_DOC_mgCL,dist_cum_m,4e-4,1e-4,6.053816649121872,0,sig,0.58,0.57
5/17/19,lower,NO3_UM,dist_cum_m,-0.0032,9e-4,-3.562382569391435,0.0119,sig,0.68,0.63
5/17/19,lower,NH4_UM,dist_cum_m,-2e-4,3e-4,-0.6865028628584018,0.518,not_sig,0.07,-0.08
5/17/19,lower,PO4_UM,dist_cum_m,-0,0,-3.9555388108898617,0.0075,sig,0.72,0.68
5/17/19,lower,NO3_mgNL,dist_cum_m,-0,0,-3.562382589452507,0.0119,sig,0.68,0.63
5/17/19,lower,NH4_mgNL,dist_cum_m,-0,0,-0.6865028944485884,0.518,not_sig,0.07,-0.08
5/17/19,lower,PO4_mgPL,dist_cum_m,-0,0,-3.955538810889863,0.0075,sig,0.72,0.68
5/17/19,lower,TDN_UM,dist_cum_m,-0.0018,8e-4,-2.337443681647022,0.058,not_sig,0.48,0.39
5/17/19,lower,TDN_mgNL,dist_cum_m,-0,0,-2.3374436472644518,0.058,not_sig,0.48,0.39
5/17/19,lower,TDP_UM,dist_cum_m,-0,0,-0.9015724161573412,0.402,not_sig,0.12,-0.03
5/17/19,lower,TDP_mgPL,dist_cum_m,-0,0,-0.9015724161573399,0.402,not_sig,0.12,-0.03
5/17/19,lower,TN_UM,dist_cum_m,-0.005,0.0016,-3.0792210616606455,0.0217,sig,0.61,0.55
5/17/19,lower,TN_mgNL,dist_cum_m,-1e-4,0,-3.0792210834083793,0.0217,sig,0.61,0.55
5/17/19,lower,TP_UM,dist_cum_m,-0,0,-0.029836369758657184,0.9772,not_sig,0,-0.17
5/17/19,lower,TP_mgPL,dist_cum_m,-0,0,-0.029836369758648194,0.9772,not_sig,0,-0.17
5/17/19,lower,tss_mgL,dist_cum_m,-3e-4,6e-4,-0.4743586118975499,0.6552,not_sig,0.04,-0.15
5/17/19,lower,NPOC_mgCL,dist_cum_m,9e-4,9e-4,0.9885777627224073,0.361,not_sig,0.14,-0
5/17/19,lower,Al_ppb_0.45,dist_cum_m,0.0024,4e-4,6.119289842656341,9e-4,sig,0.86,0.84
5/17/19,lower,Si_ppb_0.45,dist_cum_m,-0.271,0.0842,-3.219615957307037,0.0181,sig,0.63,0.57
5/17/19,lower,P_ppb_0.45,dist_cum_m,-4e-4,4e-4,-1.0453138199297287,0.3362,not_sig,0.15,0.01
5/17/19,lower,Mn_ppb_0.45,dist_cum_m,-0.0094,0.0039,-2.4115333216925623,0.0525,not_sig,0.49,0.41
5/17/19,lower,Fe_ppb_0.45,dist_cum_m,0.0015,0.004,0.376813862665416,0.7193,not_sig,0.02,-0.14
5/17/19,lower,PN,dist_cum_m,-0,0,-0.5959540891034603,0.573,not_sig,0.06,-0.1
5/17/19,lower,DON,dist_cum_m,0,0,1.4100523608758715,0.2082,not_sig,0.25,0.12
5/17/19,lower,PP,dist_cum_m,0,0,0.9848898476534917,0.3627,not_sig,0.14,-0
5/17/19,lower,DOP,dist_cum_m,0,0,0.43899261494725833,0.676,not_sig,0.03,-0.13
5/17/19,lower,TN_TP,dist_cum_m,-0.009,0.0028,-3.222534372783337,0.0181,sig,0.63,0.57
5/17/19,lower,DIN_SRP,dist_cum_m,0.0449,0.0127,3.536943617971486,0.0123,sig,0.68,0.62
5/17/19,lower,DOC_TN,dist_cum_m,0.003,0.0019,1.5762742782187893,0.166,not_sig,0.29,0.17
5/17/19,lower,DOC_TP,dist_cum_m,0.1265,0.1309,0.966927615694476,0.3709,not_sig,0.13,-0.01
5/17/19,lower,DOC_DIN,dist_cum_m,0.0046,0.003,1.5582724710196116,0.1702,not_sig,0.29,0.17
5/17/19,lower,DOC_SRP,dist_cum_m,1.4897,0.6065,2.456209300719538,0.0494,sig,0.5,0.42
7/3/19,upper,temp_c,dist_cum_m,3e-4,0,22.311423027901487,0,sig,0.84,0.83
7/3/19,upper,do_per,dist_cum_m,8e-4,1e-4,8.681090884025988,0,sig,0.43,0.43
7/3/19,upper,do_mgl,dist_cum_m,0,0,2.1878355879745977,0.0311,sig,0.05,0.04
7/3/19,upper,spc_uscm,dist_cum_m,-3e-4,1e-4,-5.057184005742909,0,sig,0.21,0.2
7/3/19,upper,tds_mgl,dist_cum_m,-2e-4,0,-5.230912276069276,0,sig,0.22,0.21
7/3/19,upper,ph,dist_cum_m,-0,0,-12.68709507297248,0,sig,0.62,0.62
7/3/19,upper,chla_ugl,dist_cum_m,1e-4,0,12.194616004457153,0,sig,0.6,0.6
7/3/19,upper,fdom_qsu,dist_cum_m,2e-4,0,7.170657523935468,0,sig,0.34,0.34
7/3/19,upper,scan_NO3_mgNL,dist_cum_m,-0,0,-23.328477396811337,0,sig,0.85,0.85
7/3/19,upper,scan_DOC_mgCL,dist_cum_m,0,0,23.497706063836183,0,sig,0.85,0.85
7/3/19,upper,NO3_UM,dist_cum_m,-7e-4,2e-4,-4.418019732356492,2e-4,sig,0.47,0.45
