DateTimeS,r_timestamp,transect,dist_from_prev_m,dist_cum_m,lat,lon,elev,Date,Time,temp_c,do_per,do_mgl,spc_uscm,tds_mgl,ph,chla_ugl,fdom_qsu,scan_NO3_mgNL,scan_DOC_mgCL,NO3_UM,NH4_UM,PO4_UM,NO3_mgNL,NH4_mgNL,PO4_mgPL,TDN_UM,TDN_mgNL,TDP_UM,TDP_mgPL,TN_UM,TN_mgNL,TP_UM,TP_mgPL,tss_mgL,NPOC_mgCL,Al_ppb_0.45,Si_ppb_0.45,P_ppb_0.45,Mn_ppb_0.45,Fe_ppb_0.45
2019-08-14T13:53:00Z,8/14/19 9:53,Dead Creek,0,0,44.94664985,-73.14743932,-0.5033,8/14/19,9:53:02,23.348,91.8,7.82,138.2,90,7.69,-1.88,34.81,0.22834325,3.531311752,15.701,1.44,0.144,0.22,0.02,0.004,32.444,0.454462574,0.247,0.00764218,32.911,0.461004124,0.728,0.02252432,0.94,3.637,12.07664371,1817.729477,5.309849713,6.670361129,70.72163202
2019-08-14T13:54:00Z,8/14/19 9:54,Dead Creek,82.62032581,82.62032581,44.94730009,-73.14693177,-0.5387,8/14/19,9:54:02,23.384,91.6,7.79,138,90,7.69,-1.94,34.63,0.228730998,3.522469387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-14T13:55:00Z,8/14/19 9:55,Dead Creek,76.69179495,159.3121208,44.94793227,-73.14654206,-0.5133,8/14/19,9:55:02,23.37,91.9,7.83,137.8,90,7.69,-1.9,34.47,0.227971849,3.540511966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-14T13:56:00Z,8/14/19 9:56,Dead Creek,59.05099387,218.3631146,44.94845214,-73.14638726,-0.5142,8/14/19,9:56:02,23.374,92.3,7.86,137.9,90,7.7,-1.9,34.5,0.227719344,3.549508794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-14T13:57:00Z,8/14/19 9:57,Dead Creek,65.92998446,284.2930991,44.94904391,-73.14632807,-0.5205,8/14/19,9:57:02,23.355,91.6,7.81,138.1,90,7.68,-1.89,34.45,0.228495382,3.528006239,15.974,0.995,0.061,0.224,0.014,0.002,31.142,0.436224679,0.288,0.00891072,33.475,0.46890441,0.724,0.02240056,2.82,3.586,11.48525201,1779.458541,4.171862899,5.384077681,67.21816703
2019-08-14T13:58:00Z,8/14/19 9:58,Dead Creek,80.52135411,364.8144532,44.94976187,-73.14646551,-0.5228,8/14/19,9:58:02,23.38,91.3,7.77,138.3,90,7.68,-1.91,34.37,0.229172225,3.532895268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-14T13:59:00Z,8/14/19 9:59,Dead Creek,67.50958829,432.3240415,44.95034962,-73.14668177,-0.5325,8/14/19,9:59:02,23.372,90.5,7.71,138.3,90,7.66,-1.98,34.32,0.228798243,3.534407752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-14T14:00:00Z,8/14/19 10:00,Dead Creek,66.06792695,498.3919684,44.95092554,-73.14688948,-0.5196,8/14/19,10:00:02,23.362,90.3,7.69,138.3,90,7.66,-1.85,34.5,0.228093781,3.543176473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-08-14T14:01:00Z,8/14/19 10:01,Dead Creek,59.29678897,557.6887574,44.95139921,-73.14654358,-0.5251,8/14/19,10:01:02,23.34,89.8,7.65,138.2,90,7.65,-1.87,34.6,0.229087055,3.544604786,16.222,1.114,0.095,0.227,0.016,0.003,31.76,0.444881376,0.32,0.0099008,34.108,0.477771221,0.742,0.02295748,3.77,3.468,11.49744239,1787.074094,5.064244948,6.5125969,68.61719011
2019-08-14T14:02:00Z,8/14/19 10:02,Dead Creek,63.99004219,621.6787996,44.95150249,-73.14574584,-0.5213,8/14/19,10:02:02,23.391,91,7.75,138.3,90,7.67,-1.84,34.34,0.227575267,3.562930241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
