DateTimeS,r_timestamp,transect,dist_from_prev_m,dist_cum_m,lat,lon,elev,Date,Time,temp_c,do_per,do_mgl,spc_uscm,tds_mgl,ph,chla_ugl,fdom_qsu,scan_NO3_mgNL,scan_DOC_mgCL,NO3_UM,NH4_UM,PO4_UM,NO3_mgNL,NH4_mgNL,PO4_mgPL,TDN_UM,TDN_mgNL,TDP_UM,TDP_mgPL,TN_UM,TN_mgNL,TP_UM,TP_mgPL,tss_mgL,NPOC_mgCL,Al_ppb_0.45,Si_ppb_0.45,P_ppb_0.45,Mn_ppb_0.45,Fe_ppb_0.45
2019-07-03T14:10:00Z,2019-07-03 10:10:00,Main,0,-104.3072,271840.4448,448941.9443,0.3786,7/3/19,10:09:38,25.494,97.7,8,130.4,85,7.63,-2.15,28.35,0.347039314309164,3.14136353057692,25.113,2.837,0.054,0.351750257,0.039737008,0.00167076,40.026,0.560668198,0.201,0.00621894,42.965,0.601836534,0.41,0.0126854,1.87,3.043,10.64874889,1688.61485,3.348851523,1.652596967,64.12573638
2019-07-03T14:11:00Z,2019-07-03 10:11:00,Main,48.23967248,-56.06752752,271863.414,448899.524,0.3556,7/3/19,10:10:38,25.8,97.5,7.94,130.2,85,7.61,-2.23,27.8,0.340689031980338,3.16706330872572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-03T14:12:00Z,2019-07-03 10:12:00,Main,41.90236518,-14.16516235,271883.8167,448862.9243,0.3558,7/3/19,10:11:38,25.614,96.9,7.92,130,85,7.61,-2.22,28.26,0.339055859272458,3.16652811620207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-03T14:13:00Z,2019-07-03 10:13:00,Main,45.36625133,31.20108899,271908.2199,448824.6806,0.3681,7/3/19,10:12:38,25.466,97,7.94,130.2,85,7.59,-2.06,28.43,0.344251881152042,3.15678812156977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-03T14:14:00Z,2019-07-03 10:14:00,Main,54.08252531,85.2836143,271933.9242,448777.0969,0.354,7/3/19,10:13:38,25.483,97.1,7.95,130,84,7.56,-2.19,28.63,0.33620370216053,3.16403231850951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-03T14:15:00Z,2019-07-03 10:15:00,Main,64.9653318,150.2489461,271963.7312,448719.3731,0.3607,7/3/19,10:14:38,25.739,97.2,7.93,130,84,7.52,-2.1,28.16,0.333458120746479,3.179911816454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-03T14:16:00Z,2019-07-03 10:16:00,Main,66.98136604,217.2303121,272000.85,448663.6174,0.3493,7/3/19,10:15:38,26.06,97.6,7.91,130.2,85,7.52,-2.15,27.21,0.340923534054088,3.15785512449142,25.253,2.912,0.077,0.353711195,0.04078751,0.00238238,41.93,0.587338668,0.214,0.00662116,43.514,0.609526706,0.436,0.01348984,0.93,3.416,10.26147231,1625.31203,3.184232223,2.945989905,65.96650868
2019-07-03T14:17:00Z,2019-07-03 10:17:00,Main,63.92548358,281.1557957,272037.7283,448611.4019,0.3624,7/3/19,10:16:38,26.071,97.8,7.92,130.3,85,7.53,-2.1,27.06,0.342961070416031,3.14570824029073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-03T14:18:00Z,2019-07-03 10:18:00,Main,61.59753721,342.7533329,272076.5406,448563.5703,0.3818,7/3/19,10:17:38,26.042,98.3,7.97,130.5,85,7.54,-2.18,27.11,0.345710675486807,3.14852687069845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-03T14:19:00Z,2019-07-03 10:19:00,Main,67.13586923,409.8892022,272116.7345,448509.796,0.4056,7/3/19,10:18:38,25.942,97.9,7.95,130.3,85,7.53,-2.15,27.34,0.342251285322849,3.15624981472861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-07-03T14:20:00Z,2019-07-03 10:20:00,Main,68.29399529,478.1831974,272157.9993,448455.3783,0.3858,7/3/19,10:19:38,25.97,98.5,8,130.6,85,7.53,-2.06,27.3,0.348034117798816,3.14420630311039,24.459,2.622,0.054,0.342589875,0.036725567,0.00167076,42.431,0.594356476,0.224,0.00693056,43.664,0.611627846,0.438,0.01355172,1.91,3.306,11.28899409,1735.692557,3.143831039,2.321738719,66.90091334
