Date,Time,Site,Unit ID,User ID,C-15F102377,mmHg-18B100990,DO %-15F101915,DO %L-15F101915,DO mg/L-15F101915,SPC-uS/cm-15F102377,C-uS/cm-15F102377,nLFC-uS/cm-15F102377,TDS mg/L-15F102377,SAL-PSU-15F102377,pH-18A105002,pH mV-18A105002,FNU-15E103685,TSS mg/L-15E103685,BGA-PC RFU-15F101336,BGA-PCug/L-15F101336,Chl RFU-15F101336,Chl ug/L-15F101336,fDOM RFU-13M100089,fDOM QSU-13M100089,DEP m-15F100474,Vpos m-15F100474,DEP psia-15F100474,Wiper V-15F101248,Cable V-18B100990,Batt V-18B100990,ALT m-18B100990,Lat-18B100990,Lon-18B100990
5/17/19,11:17:00,MissRivDelta,,,12.335,750.9,98.7,98.7,10.55,88.4,67.1,90,57,0.04,7.26,-48.5,4.41,0,-0.06,-0.19,-0.45,-2.43,14.33,44.97,0.156,0.016,0.221,1.214,0,4.17,25.3,44.99943,-73.15247
5/17/19,11:18:00,MissRivDelta,,,12.081,750.8,98.6,98.6,10.61,88.4,66.6,89.9,57,0.04,7.23,-46.4,4.49,0,-0.13,-0.21,-0.46,-2.45,14.33,44.97,0.16,0.022,0.228,1.214,0,4.19,32.8,44.99997,-73.1526
5/17/19,11:19:00,MissRivDelta,,,12.04,750.8,98.8,98.8,10.64,88.4,66.5,89.9,57,0.04,7.18,-43.7,4.56,0,0.05,-0.15,-0.53,-2.52,14.33,44.98,0.162,0.026,0.23,1.214,0,4.2,26.5,45.00048,-73.15273
5/17/19,11:20:00,MissRivDelta,,,11.993,750.8,99.1,99.1,10.68,88.3,66.4,89.9,57,0.04,7.16,-42.7,4.51,0,-0.11,-0.2,-0.6,-2.6,14.34,45,0.15,0.016,0.213,1.214,0,4.17,30.9,45.00101,-73.15289
5/17/19,11:21:00,MissRivDelta,,,11.948,750.8,99.8,99.8,10.76,88.4,66.3,89.9,57,0.04,7.2,-44.7,4.58,0,-0.01,-0.17,-0.59,-2.59,14.34,45,0.15,0.019,0.213,1.214,0,4.18,34.7,45.00153,-73.15327
5/17/19,11:22:00,MissRivDelta,,,12.019,750.8,99.7,99.7,10.74,88.3,66.4,89.8,57,0.04,7.21,-45.4,4.41,0,0.04,-0.16,-0.49,-2.48,14.25,44.74,0.138,-0.001,0.196,1.214,0,4.16,33.7,45.00203,-73.15362
5/17/19,11:23:00,MissRivDelta,,,12.075,750.7,99.4,99.4,10.69,88.3,66.5,89.8,57,0.04,7.2,-44.8,4.47,0,-0.06,-0.19,-0.52,-2.51,14.23,44.68,0.154,0.026,0.219,1.214,0,4.19,33.9,45.00253,-73.15401
5/17/19,11:24:00,MissRivDelta,,,12.127,750.8,99.3,99.3,10.67,88.3,66.6,89.8,57,0.04,7.21,-45.6,4.43,0,-0.04,-0.18,-0.6,-2.6,14.19,44.56,0.165,0.026,0.235,1.214,0,4.18,35.3,45.00298,-73.15447
5/17/19,11:25:00,MissRivDelta,,,12.183,750.7,99.5,99.5,10.67,88.1,66.6,89.6,57,0.04,7.23,-46.3,4.35,0,-0.15,-0.21,-0.62,-2.62,14.18,44.52,0.165,0.027,0.235,1.214,0,4.14,35,45.00336,-73.15501
5/17/19,11:26:00,MissRivDelta,,,12.522,750.8,96.8,96.8,10.31,87.3,66.5,88.8,57,0.04,7.19,-44.4,4.36,0,0,-0.17,-0.55,-2.54,14.93,46.83,0.154,0.017,0.218,1.214,0,4.15,34,45.00372,-73.15555
5/17/19,11:27:00,MissRivDelta,,,12.543,750.7,96.6,96.6,10.28,87.1,66.4,88.6,57,0.04,7.19,-44.4,4.47,0,-0.08,-0.19,-0.44,-2.42,14.93,46.82,0.182,0.034,0.259,1.214,0,4.16,34.8,45.00408,-73.15614
5/17/19,11:28:00,MissRivDelta,,,12.674,750.7,96.5,96.5,10.24,86.4,66.1,87.9,56,0.04,7.18,-43.7,4.41,0,-0.15,-0.21,-0.49,-2.47,15.17,47.58,0.164,0.018,0.233,1.214,0,4.17,36.7,45.00431,-73.15678
5/17/19,11:29:00,MissRivDelta,,,12.913,750.7,96.3,96.3,10.16,85.5,65.8,86.9,56,0.04,7.19,-44.1,4.37,0,-0.15,-0.21,-0.45,-2.43,15.45,48.44,0.153,0.011,0.217,1.214,0,4.18,37.6,45.0045,-73.15732
5/17/19,11:30:00,MissRivDelta,,,12.954,750.7,96.3,96.3,10.15,85.4,65.8,86.9,56,0.04,7.19,-44.1,4.46,0,-0.02,-0.17,-0.43,-2.41,15.51,48.63,0.138,0.023,0.196,1.214,0,4.16,34.6,45.00463,-73.15797
5/17/19,11:31:00,MissRivDelta,,,13,750.7,95.2,95.2,10.03,84.6,65.2,86,55,0.04,7.15,-41.9,5.35,0,-0.09,-0.19,-0.29,-2.25,16.29,51.02,0.172,0.036,0.244,1.214,0,4.17,34.8,45.00483,-73.1586
5/17/19,11:32:00,MissRivDelta,,,13.114,750.7,94.7,94.7,9.95,84.2,65.1,85.6,55,0.04,7.09,-38.8,5.13,0,0,-0.17,-0.39,-2.36,16.55,51.82,0.179,0.037,0.254,1.214,0,4.16,36,45.00508,-73.15927
5/17/19,11:33:00,MissRivDelta,,,13.14,750.7,96.2,96.2,10.1,84.2,65.1,85.6,55,0.04,7.09,-38.5,4.6,0,-0.1,-0.2,-0.25,-2.21,16.2,50.73,0.17,0.041,0.242,1.214,0,4.16,36.9,45.00533,-73.15997
5/17/19,11:34:00,MissRivDelta,,,13.311,750.6,97.9,97.9,10.24,82.4,64,83.8,54,0.04,7.12,-40.2,4.61,0,-0.05,-0.18,-0.31,-2.27,16.63,52.07,0.165,0.012,0.234,1.214,0,4.17,35.1,45.00555,-73.16067
5/17/19,11:35:00,MissRivDelta,,,13.245,750.7,97.9,97.9,10.26,82,63.6,83.3,53,0.04,7.12,-40.4,4.71,0,-0.11,-0.2,-0.28,-2.24,16.81,52.62,0.167,0.019,0.237,1.214,0,4.15,31.9,45.00572,-73.16139
5/17/19,11:36:00,MissRivDelta,,,13.113,750.6,98.1,98.1,10.31,80.1,61.9,81.4,52,0.04,7.15,-41.8,4.83,0,-0.02,-0.17,-0.19,-2.14,17.12,53.56,0.165,0.033,0.235,1.214,0,4.14,30,45.00574,-73.16212
