Date,Time,Site,Unit ID,User ID,C-15F102377,mmHg-18B100990,DO %-15F101915,DO %L-15F101915,DO mg/L-15F101915,SPC-uS/cm-15F102377,C-uS/cm-15F102377,nLFC-uS/cm-15F102377,TDS mg/L-15F102377,SAL-PSU-15F102377,pH-17D108473,pH mV-17D108473,FNU-15E103685,TSS mg/L-15E103685,BGA-PC RFU-15F101336,BGA-PCug/L-15F101336,Chl RFU-15F101336,Chl ug/L-15F101336,fDOM RFU-13M100089,fDOM QSU-13M100089,DEP m-15F100474,Vpos m-15F100474,DEP psia-15F100474,Wiper V-15F101248,Cable V-18B100990,Batt V-18B100990,ALT m-18B100990,Lat-18B100990,Lon-18B100990
7/3/19,10:24:38,Miss wetland,,,26.074,755.8,96.5,96.5,7.82,129.9,132.5,129.6,84,0.06,7.48,-28.8,1.44,0,0.04,-0.15,-0.27,-2.24,8.67,27.55,0.255,0.183,0.362,1.196,0,4.21,29.4,44.94935,-73.15656
7/3/19,10:25:38,Miss wetland,,,25.93,755.8,95.7,95.7,7.77,129.6,131.9,129.4,84,0.06,7.47,-28.6,1.5,0,0,-0.17,-0.18,-2.13,8.72,27.72,0.256,0.19,0.364,1.196,0,4.23,27.9,44.94969,-73.15733
7/3/19,10:26:38,Miss wetland,,,26.248,755.6,96.4,96.4,7.78,129.7,132.8,129.3,84,0.06,7.47,-28.6,1.43,0,-0.07,-0.19,-0.16,-2.11,8.6,27.33,0.255,0.187,0.362,1.196,0,4.22,28.7,44.95002,-73.15806
7/3/19,10:27:38,Miss wetland,,,26.071,755.8,94.3,94.3,7.64,129.1,131.7,128.8,84,0.06,7.43,-26.1,1.8,0,-0.12,-0.2,-0.03,-1.97,8.8,27.97,0.253,0.193,0.359,1.196,0,4.2,30,44.95036,-73.15878
7/3/19,10:28:38,Miss wetland,,,26.211,755.8,93.8,93.8,7.58,129,132,128.7,84,0.06,7.41,-25,1.75,0,-0.06,-0.18,-0.06,-2,8.78,27.89,0.246,0.19,0.348,1.196,0,4.21,32.8,44.95073,-73.15948
7/3/19,10:29:38,Miss wetland,,,26.142,755.7,94.2,94.2,7.62,129.3,132.1,129,84,0.06,7.41,-24.9,1.54,0,-0.17,-0.22,-0.12,-2.06,8.67,27.57,0.25,0.176,0.354,1.196,0,4.21,31.6,44.95111,-73.1602
7/3/19,10:30:38,Miss wetland,,,26.192,755.8,93.8,93.8,7.58,128.9,131.9,128.6,84,0.06,7.43,-26.1,1.68,0,-0.1,-0.2,-0.13,-2.08,8.74,27.77,0.261,0.158,0.371,1.196,0,4.16,31.8,44.95144,-73.16082
7/3/19,10:31:38,Miss wetland,,,25.778,755.8,93,93,7.57,128.9,130.9,128.7,84,0.06,7.39,-23.9,1.69,0,-0.15,-0.21,-0.03,-1.97,8.93,28.37,0.249,0.181,0.352,1.196,0,4.17,32,44.95193,-73.1616
7/3/19,10:32:38,Miss wetland,,,25.748,755.7,93.1,93.1,7.59,128.9,130.7,128.7,84,0.06,7.4,-24.3,1.74,0,-0.09,-0.19,-0.16,-2.11,8.94,28.39,0.254,0.179,0.361,1.196,0,4.2,32.5,44.95244,-73.16225
7/3/19,10:33:38,Miss wetland,,,25.902,755.8,93.3,93.3,7.58,128.8,131,128.5,84,0.06,7.39,-23.8,1.72,0,-0.07,-0.19,-0.23,-2.19,8.86,28.13,0.244,0.184,0.347,1.196,0,4.19,35.3,44.95301,-73.1628
7/3/19,10:34:38,Miss wetland,,,25.9,755.8,93.3,93.3,7.59,128.6,130.9,128.4,84,0.06,7.39,-23.9,1.65,0,-0.07,-0.19,-0.1,-2.04,8.84,28.09,0.259,0.189,0.367,1.196,0,4.19,34,44.95359,-73.16322
7/3/19,10:35:38,Miss wetland,,,25.878,755.8,93.5,93.5,7.6,128.6,130.8,128.4,84,0.06,7.4,-24.5,1.6,0,-0.03,-0.18,-0.22,-2.18,8.84,28.09,0.257,0.192,0.364,1.196,0,4.19,33.2,44.95417,-73.16363
7/3/19,10:36:38,Miss wetland,,,25.928,755.8,93.6,93.6,7.6,128.4,130.6,128.1,83,0.06,7.39,-23.6,1.77,0,-0.05,-0.18,-0.13,-2.07,8.86,28.14,0.261,0.193,0.37,1.196,0,4.17,33.3,44.95472,-73.16405
7/3/19,10:37:38,Miss wetland,,,26.087,755.8,94,94,7.62,127.8,130.5,127.5,83,0.06,7.36,-21.7,2.35,0,-0.13,-0.21,-0.13,-2.07,9.02,28.63,0.255,0.194,0.362,1.196,0,4.18,33.6,44.95531,-73.16444
7/3/19,10:38:38,Miss wetland,,,26.12,755.8,92.9,92.9,7.52,127.9,130.7,127.7,83,0.06,7.33,-19.9,2.52,0,-0.09,-0.19,-0.13,-2.08,9.01,28.61,0.261,0.198,0.371,1.196,0,4.16,32.8,44.95591,-73.16477
7/3/19,10:39:38,Miss wetland,,,26.21,755.8,92.9,92.9,7.5,128.1,131.1,127.8,83,0.06,7.32,-19.5,2.62,0,-0.07,-0.19,-0.07,-2.01,9.02,28.64,0.264,0.187,0.374,1.196,0,4.14,32.1,44.95649,-73.16507
7/3/19,10:40:38,Miss wetland,,,26.09,755.9,93.3,93.3,7.56,127.9,130.6,127.6,83,0.06,7.33,-20.3,2.54,0,-0.05,-0.18,-0.01,-1.95,9.04,28.69,0.265,0.196,0.375,1.196,0,4.17,32.1,44.95704,-73.16528
7/3/19,10:41:38,Miss wetland,,,26.088,755.8,93.3,93.3,7.55,127.9,130.5,127.6,83,0.06,7.33,-20,2.6,0,-0.03,-0.18,0.03,-1.9,9.03,28.67,0.26,0.191,0.368,1.196,0,4.16,32.6,44.95761,-73.16549
7/3/19,10:42:38,Miss wetland,,,26.109,755.9,93.2,93.2,7.54,128,130.7,127.7,83,0.06,7.32,-19.6,2.37,0,-0.08,-0.19,-0.1,-2.04,8.97,28.48,0.252,0.195,0.357,1.196,0,4.15,33.1,44.95827,-73.16573
7/3/19,10:43:38,Miss wetland,,,26.068,755.9,93.3,93.3,7.56,127.9,130.5,127.6,83,0.06,7.35,-21.2,2.17,0,-0.06,-0.18,-0.15,-2.1,8.93,28.37,0.259,0.192,0.367,1.196,0,4.16,33,44.95885,-73.16592
7/3/19,10:44:38,Miss wetland,,,26.081,755.8,93.7,93.7,7.59,127.8,130.4,127.5,83,0.06,7.36,-21.8,2.25,0,-0.08,-0.19,-0.19,-2.14,9.02,28.65,0.262,0.19,0.371,1.196,0,4.14,32.7,44.95943,-73.16604
7/3/19,10:45:38,Miss wetland,,,26.109,755.9,94.1,94.1,7.62,127.7,130.4,127.4,83,0.06,7.36,-22,2.12,0,-0.11,-0.2,-0.14,-2.09,9.03,28.68,0.262,0.193,0.372,1.196,0,4.13,32.2,44.96001,-73.16609
7/3/19,10:46:38,Miss wetland,,,26.019,755.8,95.3,95.3,7.73,127.3,129.8,127.1,83,0.06,7.38,-22.8,1.94,0,-0.1,-0.2,-0.11,-2.05,9.07,28.77,0.262,0.189,0.371,1.196,0,4.12,31.9,44.96059,-73.16609
7/3/19,10:47:38,Miss wetland,,,26.135,755.9,95.5,95.5,7.73,127.4,130.2,127.1,83,0.06,7.37,-22.4,1.86,0,-0.06,-0.19,-0.16,-2.11,8.96,28.45,0.258,0.193,0.366,1.196,0,4.1,32.4,44.96123,-73.16604
7/3/19,10:48:38,Miss wetland,,,26.311,755.9,95.5,95.5,7.7,127.5,130.7,127.2,83,0.06,7.37,-22.4,2.18,0,-0.05,-0.18,-0.16,-2.11,8.95,28.43,0.258,0.197,0.366,1.196,0,4.14,31.6,44.96186,-73.16599
7/3/19,10:49:38,Miss wetland,,,26.332,755.8,96.6,96.6,7.79,127.3,130.6,127,83,0.06,7.38,-23.3,1.92,0,-0.11,-0.2,-0.12,-2.06,8.91,28.29,0.252,0.173,0.358,1.196,0,4.15,29.4,44.96251,-73.16591
7/3/19,10:50:38,Miss wetland,,,26.5,755.8,98.2,98.2,7.89,127.1,130.7,126.7,83,0.06,7.4,-24.3,1.82,0,-0.06,-0.19,-0.06,-2,8.86,28.14,0.259,0.194,0.368,1.196,0,4.12,29.8,44.96312,-73.16581
7/3/19,10:51:38,Miss wetland,,,26.505,755.9,98.8,98.8,7.94,127,130.6,126.6,83,0.06,7.4,-24.6,1.79,0,-0.12,-0.2,-0.1,-2.04,8.89,28.22,0.252,0.194,0.357,1.196,0,4.13,29.4,44.96373,-73.1657
7/3/19,10:52:38,Miss wetland,,,26.383,755.8,98.1,98.1,7.9,127.2,130.5,126.8,83,0.06,7.4,-24.2,2.19,0,-0.07,-0.19,-0.07,-2.01,9.02,28.64,0.241,0.173,0.341,1.196,0,4.13,29.3,44.96438,-73.16564
7/3/19,10:53:38,Miss wetland,,,26.499,755.9,98.8,98.8,7.94,127.1,130.7,126.7,83,0.06,7.39,-23.8,2.02,0,-0.07,-0.19,-0.09,-2.03,8.98,28.51,0.237,0.18,0.336,1.196,0,4.1,27.6,44.96507,-73.16556
7/3/19,10:54:38,Miss wetland,,,26.379,755.8,97.8,97.8,7.88,126.8,130.2,126.5,82,0.06,7.38,-23,2,0,-0.12,-0.2,-0.08,-2.03,9.06,28.75,0.238,0.159,0.337,1.196,0,4.12,31.1,44.96574,-73.16547
7/3/19,10:55:38,Miss wetland,,,26.565,755.9,97.5,97.5,7.83,126.5,130.3,126.1,82,0.06,7.36,-21.9,2.23,0,-0.1,-0.2,-0.1,-2.05,9.15,29.02,0.271,0.21,0.384,1.196,0,4.08,36.2,44.96629,-73.16552
7/3/19,10:56:38,Miss wetland,,,26.647,755.8,97.9,97.9,7.85,126.4,130.4,126,82,0.06,7.36,-21.7,2.06,0,-0.1,-0.2,-0.15,-2.1,9.13,28.97,0.255,0.193,0.362,1.196,0,4.1,36.8,44.96684,-73.16557
7/3/19,10:57:38,Miss wetland,,,26.687,755.8,98.3,98.3,7.88,126.3,130.4,125.9,82,0.06,7.34,-20.6,2.44,0,-0.04,-0.18,-0.14,-2.09,9.15,29.04,0.248,0.179,0.352,1.196,0,4.11,36.4,44.96746,-73.16562
7/3/19,10:58:38,Miss wetland,,,26.752,755.9,98.2,98.2,7.86,126.3,130.6,125.9,82,0.06,7.33,-20.2,2.18,0,-0.08,-0.19,-0.12,-2.07,9.08,28.81,0.236,0.167,0.335,1.196,0,4.11,35.8,44.96811,-73.16578
7/3/19,10:59:38,Miss wetland,,,26.805,755.9,98.7,98.7,7.89,126.4,130.7,125.9,82,0.06,7.35,-21.4,2.06,0,-0.08,-0.19,-0.12,-2.06,8.98,28.51,0.237,0.17,0.336,1.196,0,4.1,36,44.96874,-73.16604
7/3/19,11:00:38,Miss wetland,,,26.707,755.9,98.1,98.1,7.85,126.4,130.5,126,82,0.06,7.35,-21.4,1.99,0,-0.07,-0.19,-0.11,-2.06,8.99,28.55,0.228,0.159,0.323,1.196,0,4.11,35,44.96938,-73.16643
7/3/19,11:01:38,Miss wetland,,,26.896,755.9,97.6,97.6,7.79,126.5,131,126,82,0.06,7.34,-20.7,2.14,0,-0.05,-0.18,-0.16,-2.11,8.95,28.42,0.243,0.159,0.344,1.196,0,4.09,33.6,44.96998,-73.16682
7/3/19,11:02:38,Miss wetland,,,26.905,755.9,96.9,96.9,7.73,126.5,131.1,126,82,0.06,7.31,-19.2,1.98,0,-0.05,-0.18,-0.2,-2.15,8.96,28.46,0.237,0.159,0.335,1.196,0,4.04,35.5,44.97058,-73.16732
7/3/19,11:03:38,Miss wetland,,,27.211,756,97.3,97.3,7.72,126.5,131.9,125.9,82,0.06,7.3,-18.6,2.28,0,-0.1,-0.2,-0.2,-2.16,8.99,28.53,0.24,0.178,0.34,1.196,0,4.11,35.9,44.97117,-73.16777
7/3/19,11:04:38,Miss wetland,,,26.991,756,98.1,98.1,7.82,126.5,131.3,126,82,0.06,7.32,-19.5,1.96,0,0,-0.17,-0.01,-1.95,8.94,28.38,0.244,0.188,0.346,1.196,0,4.1,36.7,44.97182,-73.16784
7/3/19,11:05:38,Miss wetland,,,26.885,755.9,98,98,7.83,126.4,130.9,125.9,82,0.06,7.32,-19.8,1.97,0,0,-0.17,0.12,-1.8,9.02,28.63,0.254,0.189,0.361,1.196,0,4.08,37.3,44.97236,-73.16731
7/3/19,11:06:38,Miss wetland,,,26.95,755.9,98.4,98.4,7.85,126.4,131.1,125.9,82,0.06,7.33,-20,1.92,0,-0.06,-0.18,0.13,-1.79,8.99,28.54,0.249,0.177,0.354,1.196,0,4.09,36.8,44.97277,-73.16656
7/3/19,11:07:37,Miss wetland,,,27.094,756,99,99,7.87,126.4,131.4,125.8,82,0.06,7.34,-20.5,1.84,0,-0.05,-0.18,0.02,-1.91,8.84,28.08,0.256,0.187,0.363,1.196,0,4.1,35.9,44.97318,-73.16576
7/3/19,11:08:37,Miss wetland,,,27.094,756.1,99.2,99.2,7.89,126.2,131.3,125.7,82,0.06,7.32,-19.9,2,0,-0.07,-0.19,0.1,-1.82,8.93,28.36,0.237,0.174,0.336,1.196,0,4.08,35.3,44.97356,-73.16498
7/3/19,11:09:37,Miss wetland,,,27.331,756.1,99.1,99.1,7.85,126.4,132,125.8,82,0.06,7.32,-19.7,1.88,0,-0.06,-0.19,0.08,-1.85,8.94,28.39,0.247,0.184,0.35,1.196,0,4.08,36.5,44.97398,-73.16425
